,id,full_name,first_name,last_name,is_active
3003,77644,Darren Morningstar,Darren,Morningstar,0
3004,356,Chris Morris,Chris,Morris,0
3005,202721,Darius Morris,Darius,Morris,0
3006,77647,Isaiah Morris,Isaiah,Morris,0
3007,1628537,Jaylen Morris,Jaylen,Morris,0
3008,202693,Markieff Morris,Markieff,Morris,1
3009,77646,Max Morris,Max,Morris,0
3010,1628420,Monte Morris,Monte,Morris,1
3011,201043,Randolph Morris,Randolph,Morris,0
3012,2242,Terence Morris,Terence,Morris,0
3013,202694,Marcus Morris Sr.,Marcus,Morris Sr.,1
3014,200747,Adam Morrison,Adam,Morrison,0
3015,77648,Dwight Morrison,Dwight,Morrison,0
3016,77649,Mike Morrison,Mike,Morrison,0
3017,201627,Anthony Morrow,Anthony,Morrow,0
3018,132,Dwayne Morton,Dwayne,Morton,0
3019,1972,John Morton,John,Morton,0
3020,77652,Richard Morton,Richard,Morton,0
3021,77653,Glenn Mosley,Glenn,Mosley,0
3022,77654,Perry Moss,Perry,Moss,0
3023,734,Lawrence Moten,Lawrence,Moten,0
3024,202700,Donatas Motiejunas,Donatas,Motiejunas,0
3025,1628405,Johnathan Motley,Johnathan,Motley,0
3026,2069,Hanno Mottola,Hanno,Mottola,0
3027,203102,Arnett Moultrie,Arnett,Moultrie,0
3028,297,Alonzo Mourning,Alonzo,Mourning,0
3029,202389,Timofey Mozgov,Timofey,Mozgov,0
3030,77657,Chuck Mrazovich,Chuck,Mrazovich,0
3031,1626144,Emmanuel Mudiay,Emmanuel,Mudiay,0
3032,77658,Erwin Mueller,Erwin,Mueller,0
3033,203498,Shabazz Muhammad,Shabazz,Muhammad,0
3034,1628539,Mychal Mulder,Mychal,Mulder,0
3035,77659,Joe Mullaney,Joe,Mullaney,0
3036,77660,Bob Mullens,Bob,Mullens,0
3037,201957,Byron Mullens,Byron,Mullens,0
3038,904,Chris Mullin,Chris,Mullin,0
3039,77662,Jeff Mullins,Jeff,Mullins,0
3040,942,Todd Mundt,Todd,Mundt,0
3041,204098,Xavier Munford,Xavier,Munford,0
3042,77664,Chris Munk,Chris,Munk,0
3043,77665,George Munroe,George,Munroe,0
3044,785,Eric Murdock,Eric,Murdock,0
3045,49,Gheorghe Muresan,Gheorghe,Muresan,0
3046,1630278,Ade Murkey,Ade,Murkey,0
3047,77668,Allen Murphy,Allen,Murphy,0
3048,77669,Calvin Murphy,Calvin,Murphy,0
3049,77672,Dick Murphy,Dick,Murphy,0
3050,203513,Erik Murphy,Erik,Murphy,0
3051,77670,Jay Murphy,Jay,Murphy,0
3052,77671,John Murphy,John,Murphy,0
3053,203122,Kevin Murphy,Kevin,Murphy,0
3054,77673,Ronnie Murphy,Ronnie,Murphy,0
3055,77674,Tod Murphy,Tod,Murphy,0
3056,2211,Troy Murphy,Troy,Murphy,0
3057,1630530,Trey Murphy III,Trey,Murphy III,1
3058,1627749,Dejounte Murray,Dejounte,Murray,1
3059,2436,Flip Murray,Flip,Murray,0
3060,1627750,Jamal Murray,Jamal,Murray,1
3061,1631099,Keegan Murray,Keegan,Murray,1
3062,77675,Ken Murray,Ken,Murray,0
3063,441,Lamond Murray,Lamond,Murray,0
3064,145,Tracy Murray,Tracy,Murray,0
3065,77676,Dorie Murrey,Dorie,Murrey,0
3066,203315,Toure' Murry,Toure',Murry,0
3067,1629058,Dzanan Musa,Dzanan,Musa,0
3068,203488,Mike Muscala,Mike,Muscala,1
3069,77677,Angelo Musi,Angelo,Musi,0
3070,1054,Jerrod Mustaf,Jerrod,Mustaf,0
3071,87,Dikembe Mutombo,Dikembe,Mutombo,0
3072,982,Martin Muursepp,Martin,Muursepp,0
3073,939,Pete Myers,Pete,Myers,0
3074,1629004,Svi Mykhailiuk,Svi,Mykhailiuk,1
3075,1823,Makhtar N'diaye,Makhtar,N'diaye,0
3076,1626122,Makhtar N'diaye,Makhtar,N'diaye,0
3077,2055,Mamadou N'diaye,Mamadou,N'diaye,0
3078,77681,Bob Naber,Bob,Naber,0
3079,77682,Boris Nachamkin,Boris,Nachamkin,0
3080,2411,Bostjan Nachbar,Bostjan,Nachbar,0
3081,1627846,Abdel Nader,Abdel,Nader,0
3082,77683,Jerry Nagel,Jerry,Nagel,0
3083,77684,Fred Nagy,Fred,Nagy,0
3084,1924,Lee Nailon,Lee,Nailon,0
3085,2059,Eduardo Najera,Eduardo,Najera,0
3086,77685,Larry Nance,Larry,Nance,0
3087,1626204,Larry Nance Jr.,Larry,Nance Jr.,1
3088,203894,Shabazz Napier,Shabazz,Napier,0
3089,77686,Paul Napolitano,Paul,Napolitano,0
3090,77688,Bob Nash,Bob,Nash,0
3091,77687,Charles Nash,Charles,Nash,0
3092,959,Steve Nash,Steve,Nash,0
3093,77689,Swen Nater,Swen,Nater,0
3094,77690,Howard Nathan,Howard,Nathan,0
3095,77691,Calvin Natt,Calvin,Natt,0
3096,77692,Kenny Natt,Kenny,Natt,0
